year,Shorter Certificates,Longer Certificates,Associates Degree,Bachelors Degree,Total_Degree,Completion Annual Rate of Change
2005.0,48194,59231,120243,1316168,1543836,0.0
2006.0,46265,56939,120376,1347340,1570920,1.7543314186221792
2007.0,43827,55046,123922,1373060,1595855,1.5872864308812629
2008.0,43133,55825,118929,1404895,1622782,1.6873086840596407
2009.0,49545,56789,120301,1433088,1659723,2.2763994177899427
2010.0,61005,63941,125320,1467433,1717699,3.493113007411486
2011.0,47384,87168,142815,1511783,1789150,4.159692705182927
2012.0,47199,80349,149152,1565139,1841839,2.9449179778106904
2013.0,39486,65412,136910,1587285,1829093,-0.6920257416636266
2014.0,38577,59048,127954,1611376,1836955,0.4298305225595378
2015.0,37174,54136,117418,1629188,1837916,0.052314836237132845
2016.0,38597,48225,106888,1655091,1848801,0.5922468709124828
2017.0,39575,44267,103918,1686498,1874258,1.3769464642219509
